#
# File created on 2021-12-09 10:58:07 EST
#
# U.S. Geological Survey
# 
# This file contains selected water-quality data for stations in the National Water Information 
# System water-quality database.  Explanation of codes found in this file are followed by
# the retrieved data.
#
# The data you have secured from the USGS NWISWeb database may include data that have 
# not received Director's approval and as such are provisional and subject to revision. 
# The data are released on the condition that neither the USGS nor the United States 
# Government may be held liable for any damages resulting from its authorized or 
# unauthorized use.
#
# To view additional data-quality attributes, output the results using these options:  
# one result per row, expanded attributes.  Additional precautions are at:
# https://help.waterdata.usgs.gov/tutorials/water-quality-data/help-using-the-water-quality-data-retrieval-system#Data_retrievals_precautions
#
#  agency_cd                   - Agency Code
#  site_no                     - Station number
#  sample_dt                   - Begin date
#  sample_tm                   - Begin time
#  sample_end_dt               - End date
#  sample_end_tm               - End time
#  sample_start_time_datum_cd  - Time datum
#  tm_datum_rlbty_cd           - Time datum reliability code
#  coll_ent_cd                 - Agency Collecting Sample Code
#  medium_cd                   - Medium code
#  tu_id                       - Taxonomic unit code
#  body_part_id                - Body part code
#  P00028                      - Agency analyzing sample, code
#  P00060                      - Discharge, cubic feet per second
#  P00061                      - Discharge, instantaneous, cubic feet per second
#  P00065                      - Gage height, feet
#  P00500                      - Total solids dried at 105 degrees Celsius, water, unfiltered, milligrams per liter
#  P00530                      - Suspended solids, water, unfiltered, milligrams per liter
#  P00600                      - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter
#  P00605                      - Organic nitrogen, water, unfiltered, milligrams per liter as nitrogen
#  P00610                      - Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as nitrogen
#  P00625                      - Ammonia plus organic nitrogen, water, unfiltered, milligrams per liter as nitrogen
#  P00630                      - Nitrate plus nitrite, water, unfiltered, milligrams per liter as nitrogen
#  P00660                      - Orthophosphate, water, filtered, milligrams per liter as PO4
#  P00665                      - Phosphorus, water, unfiltered, milligrams per liter as phosphorus
#  P00666                      - Phosphorus, water, filtered, milligrams per liter as phosphorus
#  P00671                      - Orthophosphate, water, filtered, milligrams per liter as phosphorus
#  P00940                      - Chloride, water, filtered, milligrams per liter
#  P30207                      - Gage height, above datum, meters
#  P30208                      - Discharge, cubic meters per second
#  P30209                      - Discharge, instantaneous, cubic meters per second
#  P71845                      - Ammonia (NH3 + NH4+), water, unfiltered, milligrams per liter as NH4
#  P71886                      - Phosphorus, water, unfiltered, milligrams per liter as PO4
#  P71887                      - Total nitrogen [nitrate + nitrite + ammonia + organic-N], water, unfiltered, milligrams per liter as nitrate
#  P80154                      - Suspended sediment concentration, milligrams per liter
#  P80155                      - Suspended sediment discharge, short tons per day
#  P82398                      - Sampling method, code
#  P91157                      - Suspended sediment, sediment mass recovered from whole water sample, dry weight, grams
#
# Description of sample_start_time_datum_cd:
# CST  - Central Standard Time
# CDT  - Central Daylight Time
#
# Description of tm_datum_rlbty_cd:
# K  - Known
# T  - Transferred
#
# Description of coll_ent_cd:
# USGS-WRD  - U.S. Geological Survey-Water Resources Discipline
#
# Description of medium_cd:
# WS  - Surface water
#
# Description of tu_id:
# https://www.itis.gov/
#
# Description of body_part_id:
#
# Description of remark_cd:
# <  - Less than
#
# Data for the following sites are included:
#  USGS 05427965 SPRING HARBOR STORM SEWER AT MADISON, WI
#
# WARNING:  Some spreadsheet programs do not allow more than 256 columns. This retrieval
# may not be imported into those programs without manually editing this file.
#
agency_cd	site_no	sample_dt	sample_tm	sample_end_dt	sample_end_tm	sample_start_time_datum_cd	tm_datum_rlbty_cd	coll_ent_cd	medium_cd	tu_id	body_part_id	p00028	p00060	p00061	p00065	p00500	p00530	p00600	p00605	p00610	p00625	p00630	p00660	p00665	p00666	p00671	p00940	p30207	p30208	p30209	p71845	p71886	p71887	p80154	p80155	p82398	p91157
5s	15s	10d	5d	10d	5d	3s	1s	8s	3s	11s	11s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	05427965	1976-03-11	14:45			CST	T		WS					 9.2																 0.26				 33	 0.81		
USGS	05427965	1976-04-15	12:28			CST	T		WS					 59																 1.7				 4420	 699		
USGS	05427965	1976-04-15	12:45			CST	T		WS					 42																 1.2				 5830	 667		
USGS	05427965	1976-04-15	13:00			CST	T		WS					 33																 0.93				 3020	 269		
USGS	05427965	1976-04-15	13:20			CST	T		WS					 94																 2.7				 2020	 512		
USGS	05427965	1976-04-15	13:40			CST	T		WS					 136																 3.9				 4060	 1490		
USGS	05427965	1976-04-15	14:03			CST	T		WS					 100																 2.8				 6470	 1740		
USGS	05427965	1976-04-15	14:27			CST	T		WS					 55																 1.6				 2430	 362		
USGS	05427965	1976-06-13	00:15			CDT	T		WS					 1.7																 0.05				 268	 1.2		
USGS	05427965	1976-06-13	00:25			CDT	T		WS					 5.8																 0.17				 288	 4.5		
USGS	05427965	1976-06-13	00:45			CDT	T		WS					 3.0																 0.08				 25	 0.20		
USGS	05427965	1976-06-13	01:25			CDT	T		WS					 1.3																 0.04				 535	 1.8		
USGS	05427965	1976-06-13	01:45			CDT	T		WS					 12																 0.33				 414	 13		
USGS	05427965	1976-06-13	02:25			CDT	T		WS					 3.8																 0.11				 122	 1.3		
USGS	05427965	1976-06-13	22:20			CDT	T		WS					 6.1																 0.17				 131	 2.2		
USGS	05427965	1976-06-13	22:50			CDT	T		WS					 6.1																 0.17				 169	 2.8		
USGS	05427965	1976-06-13	23:10			CDT	T		WS					 14																 0.41				 220	 8.6		
USGS	05427965	1976-06-13	23:40			CDT	T		WS					 19																 0.54				 148	 7.7		
USGS	05427965	1976-06-14	00:00			CDT	T		WS					 23																 0.66				 251	 16		
USGS	05427965	1976-06-14	00:30			CDT	T		WS					 21																 0.60				 150	 8.6		
USGS	05427965	1976-06-23	16:50			CDT	T		WS					 6.1																 0.17				 514	 8.5		
USGS	05427965	1976-06-23	17:10			CDT	T		WS					 6.1																 0.17				 463	 7.7		
USGS	05427965	1976-06-23	17:20			CDT	T		WS					 29																 0.82				 855	 67		
USGS	05427965	1976-06-23	19:10			CDT	T		WS					 49																 1.4				 17	 2.2		
USGS	05427965	1976-07-20	07:05			CDT	T		WS					 3.4																 0.10				 540	 5.0		
USGS	05427965	1976-07-30	21:35			CDT	T		WS					 5.8																 0.17				 72	 1.1		
USGS	05427965	1976-07-30	22:15			CDT	T		WS					 3.0																 0.08				 77	 0.62		
USGS	05427965	1976-07-30	22:25			CDT	T		WS					 14																 0.40				 66	 2.5		
USGS	05427965	1976-07-30	23:04			CDT	T		WS					 14																 0.41				 63	 2.4		
USGS	05427965	1976-07-30	23:45			CDT	T		WS					 10																 0.30				 31	 0.88		
USGS	05427965	1976-08-27	22:05			CDT	T		WS					 0.17																 0.00				 380	 0.17		
USGS	05427965	1976-08-27	22:15			CDT	T		WS					 21																 0.58				 750	 42		
USGS	05427965	1976-08-27	22:35			CDT	T		WS					 13																 0.37				 232	 8.1		
USGS	05427965	1976-08-27	23:05			CDT	T		WS					 6.6																 0.19				 561	 9.9		
USGS	05427965	1976-08-27	23:15			CDT	T		WS															 0.370													
USGS	05427965	1976-08-27	23:16			CDT	T		WS																 0.130												
USGS	05427965	1976-08-27	23:17			CDT	T		WS															 0.040													
USGS	05427965	1976-08-27	23:18			CDT	T		WS															 0.230													
USGS	05427965	1976-08-27	23:19			CDT	T		WS															 0.270													
USGS	05427965	1976-08-27	23:55			CDT	T		WS					 38																 1.1				 116	 12		
